# eventID	energy_keV
    5160	1063.655
    5160	569.697
    5160	73.039
    5160	14.816
    5161	1063.655
    5161	569.697
    5161	73.039
    5161	10.551
    5162	1770.215
    5162	569.697
    5163	1063.655
    5163	569.697
    5163	85.235
    5163	2.341
    5164	1063.655
    5164	569.697
    5164	73.039
    5164	0.000
    5165	1063.655
    5165	569.697
    5166	1063.655
    5166	569.697
    5166	85.235
    5167	1063.655
    5167	569.697
    5167	87.534
    5168	1063.655
    5168	569.697
    5168	73.039
    5169	1063.655
    5169	569.697
    5169	75.250
    5170	1063.655
    5170	569.697
    5170	85.235
    5171	1063.655
    5171	569.697
    5171	75.250
    5171	10.551
    5172	1063.655
    5172	569.697
    5172	75.250
    5173	1063.655
    5173	569.697
    5173	73.039
    5174	1063.655
    5174	569.697
    5174	10.551
    5175	75.250
    5175	569.697
    5175	73.039
    5175	11.427
    5176	1063.655
    5176	569.697
    5177	1063.655
    5177	569.697
    5177	73.039
    5178	569.697
    5179	1063.655
    5179	569.697
    5179	75.250
    5180	1063.655
    5180	10.551
    5180	75.250
    5181	73.039
    5181	12.656
    5181	569.697
    5182	1063.655
    5182	569.697
    5183	1063.655
    5183	569.697
    5184	1063.655
    5184	569.697
    5184	73.039
    5185	1063.655
    5185	569.697
    5186	569.697
    5186	73.039
    5187	1063.655
    5187	569.697
    5187	10.551
    5188	1063.655
    5188	569.697
    5188	75.250
    5189	1063.655
    5189	569.697
    5190	569.697
    5190	85.235
    5191	1063.655
    5191	569.697
    5192	1063.655
